Date,Time,FM,Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),GAlt(m),Sats,Rud,Ele,Thr,Ail,P1,P2,P3,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-05,14:47:46.430,"AIR",-0.01,-0.01,0.00,17.2,0.8,0,100,-34,0,100,13,0,27,100,-34,100,13,60.999820 24.365811,0.1,54.60,0,30,0,1,-1012,-1,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1500,1500,994,1500,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:47.430,"AIR",-0.01,-0.03,0.00,17.2,1.4,1,99,-33,0,98,13,0,27,100,-34,98,13,60.999820 24.365812,0.1,54.60,0,30,-1,5,-461,-3,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1500,1500,1270,1500,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:48.430,"AIR",0.08,-0.03,0.00,16.9,17.1,4,99,-30,0,97,12,0,27,100,-30,99,12,60.999821 24.365811,1.8,313.00,12,30,135,284,-344,0,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1500,1634,1328,1558,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:49.430,"AIR",0.72,0.03,0.27,16.8,13.1,8,99,-32,0,99,13,0,27,100,-34,100,13,60.999834 24.365789,16.3,316.20,13,30,165,210,-267,144,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1563,1596,1367,1573,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:50.430,"AIR",0.75,0.20,0.37,16.7,15.6,11,98,-38,0,99,13,0,27,100,-37,99,12,60.999893 24.365689,45.8,326.30,21,29,131,2,8,269,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1626,1500,1504,1556,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:51.430,"AIR",0.74,0.28,0.61,16.6,12.6,16,98,-43,0,98,13,0,27,100,-46,98,13,60.999996 24.365591,65.4,-313.46,24,30,169,-70,-210,92,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1536,1475,1395,1575,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:52.430,"AIR",0.57,0.19,0.88,16.6,14.8,21,97,-52,0,98,13,0,27,100,-55,100,13,61.000196 24.365522,69.1,-296.96,21,30,0,-12,-232,-174,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1422,1500,1384,1500,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:53.430,"AIR",0.45,0.00,0.56,16.6,16.4,24,97,-52,0,99,12,0,27,100,-55,98,12,61.000387 24.365541,69.9,4.00,20,29,105,-99,-295,-40,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1490,1460,1353,1543,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:54.430,"AIR",0.37,-0.06,0.43,16.6,13.1,27,96,-68,0,99,12,0,27,100,-68,99,12,61.000524 24.365557,67.4,2.40,18,30,63,12,-294,77,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1529,1500,1353,1521,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-05,14:47:55.430,"AIR",0.41,0.00,0.37,16.6,11.5,30,96,-66,0,97,12,0,27,100,-66,98,13,61.000705 24.365574,64.8,4.10,18,30,124,44,-330,145,-4,-3,-1024,1,0,1,1,-1,-1,0x0000000000000000,1563,1512,1335,1553,2012,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
